user_id,journey_ids,plug_in_time,departure_time,time_slot,carbon_emission,avg_carbon_emission,avg_priority_carbon_emission,total_demand,charging_duration,user_type
13_5_9,"['9b11004b9e35414aa66e9ef465e0dec2', '3f7039261fa34a7f9ac57c84e6c541f5']",2022-08-08 05:54,2022-08-08 08:54,2022-08-08 08:30 ~ 2022-08-08 08:36,22.7,3.783333333333333,11.35,11.7,6.0,5_9
13_5_9,"['6664a4d43a7745c9afb1f77ea992aa10', '554262a0e38947588c5007595821efa0']",2022-08-09 05:35,2022-08-09 07:35,2022-08-09 07:10 ~ 2022-08-09 07:35,100.0,4.0,50.0,18.3,25.0,5_9
13_5_9,"['cf5fd90f71054150aeb32b7eb5f82a54', '494dad3c678f4c768369341a9f05e01b']",2022-08-10 05:18,2022-08-10 08:18,2022-08-10 08:00 ~ 2022-08-10 08:16,61.06666666666667,3.816666666666667,30.533333333333335,15.3,16.0,5_9
13_5_9,"['d466d531c7d64eee97f46f969465ee15', '5593d5ab27154a869c0b0d1560de5aee']",2022-08-11 05:32,2022-08-11 08:32,2022-08-11 07:45 ~ 2022-08-11 08:32,198.75,4.2287234042553195,99.375,25.5,47.0,5_9
13_5_9,"['db60899ac8fa4548851e00e575c85187', '88542c1c0c50451bb540769741b4dee5']",2022-08-12 05:41,2022-08-12 08:41,2022-08-12 08:30 ~ 2022-08-12 08:36,23.4,3.9,11.7,11.7,6.0,5_9
13_5_9,"['82f88ad2b1df492ca4868b7bc883ece2', 'c2c9e994bbc740c5ac4a2cce977a7d3e']",2022-08-13 05:42,2022-08-13 08:42,2022-08-13 08:29 ~ 2022-08-13 08:42,48.45,3.726923076923077,24.225,14.1,13.0,5_9
,,,,,,,,,,
16_5_9,"['9f5c15e6ea204c5bb6515034b27dceb9', '311328647a3245af9fa70729e5ba16b6']",2022-08-08 05:19,2022-08-08 09:19,2022-08-08 08:45 ~ 2022-08-08 09:19,127.05,3.736764705882353,63.525,21.3,34.0,5_9
16_5_9,"['f9787c28a6434713a2d036f199b1f889', 'cbb795f5c89247a8bc48e37b13cee2cb']",2022-08-09 05:56,2022-08-09 09:56,2022-08-09 09:30 ~ 2022-08-09 09:45,53.25,3.55,26.625,14.7,15.0,5_9
,,,,,,,,,,
16_5_9,"['b7a548546789407f9bd19b7f9505350f', '69a4971fa7144a2f857e0baae8a5546a']",2022-08-11 05:40,2022-08-11 09:40,2022-08-11 09:17 ~ 2022-08-11 09:40,87.06666666666666,3.7855072463768114,43.53333333333333,17.4,23.0,5_9
,,,,,,,,,,
16_5_9,"['861fb7839cf34121b629508458aaff81', 'c4f1175c60c74ad1acfb4a8d6322358c']",2022-08-13 05:59,2022-08-13 08:59,2022-08-13 08:25 ~ 2022-08-13 08:59,127.03333333333333,3.7362745098039216,63.516666666666666,21.0,34.0,5_9
